labels,sentence,kor_sentence,Sentiment
positive,"Clothing retail chain Sepp+Æl+Æ's sales increased by 8 % to EUR 155.2 mn, and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004.","의류 소매 체인 셉+엘+엘+엘은 매출이 8% 증가한 155.2만 유로, 영업이익은 2004년 17.1만 유로에서 31.1만 유로로 증가했다.",positive
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m, while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period.","연결 순매출액은 16% 증가하여 74.8백만 유로에 달했고, 영업이익은 전년도의 0.7백만 유로에 비해 0.9백만 유로에 달했다.",positive
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006, and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006.","주조 공장 부문은 매출이 2006년 해당 기간의 57.5 mn에서 63.1 mn으로 9.7% 증가했으며, 기계 공장 부문 매출은 2006년 해당 기간의 35.4 mn에서 41.2 mn으로 16.4% 증가했다고 보고했습니다.",positive
positive,"HELSINKI ( AFX ) - Shares closed higher, led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets, and by Nokian Tyres after its fourth-quarter earnings report beat analysts' expectations, dealers said.","헬싱키 (AFX) &shy; 노키아가 산요와 손잡고 3G 단말기를 제조할 계획을 발표한 후, 노키안 타이어가 4분기 수익보고서를 발표한 후, 주가는 분석가들의 예상을 깨고 상승 마감했다고 딜러들은 말했다.",positive
positive,"Incap Contract Manufacturing Services Pvt Ltd, a subsidiary of Incap Corporation of Finland, plans to double its revenues by 2007-2008.",핀란드 인셉트 코퍼레이션의 자회사인 인셉트 컨트랙트 제조 서비스 Pvt Ltd는 2007-2008년까지 수익을 두 배로 늘릴 계획이다.,positive
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010, up from the EUR0 .08 per share paid in 2009.",이사회는 2009년 주당 0.08유로에서 2010년 주당 0.12유로의 배당금을 제안할 예정이다.,positive
positive,"Lifetree was founded in 2000, and its revenues have risen on an average by 40 % with margins in late 30s.","라이프트리는 2000년에 설립되었으며, 30대 후반 마진과 함께 수익이 평균 40% 상승했습니다.",positive
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum, Days of the Russian Economy, that opened in Helsinki today.",상트페테르부르크의 기술단지 건설에 대한 3국간 투자협정은 오늘 헬싱키에서 개막된 '러시아 경제의 날' 포럼 과정에서 체결될 예정이었다.,positive
positive,"MegaFon's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31, while its market share by the number of customers amounted to 24 % as of late 2009, up from 23 % as of late 2008, according to TeliaSonera estimates.","텔리아소네라 추산에 따르면 메가폰의 가입자 기반은 2009년 16.1% 증가한 5,050만명으로, 고객 수 대비 시장점유율은 2009년 말 현재 24%로 2008년 말 23%보다 높아졌다.",positive
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn, and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009.","생명보험 순이익은 3.2mn에서 6.8mn으로 2배 증가했고, 손해보험 순이익은 2009년 해당 기간 1.5mn에서 5.2mn으로 증가했다.",positive
positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),순매출액은 유로179.9m에서 유로193.3m로 증가했고 세전 이익은 유로43.1m로 34.2% 증가했다. (유로1 = USD1.4),positive
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m, or 12.2 %, of the sales came from the acquisitions made in 2009.",순매출액은 18.5% 증가하여 유로167.8m를 기록했다. Teleste는 매출의 12.2%인 20.4M유로가 2009년에 이루어진 인수에서 발생했다고 밝혔다.,positive
positive,Nordea Group's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros.,"노르데아그룹은 2010년 영업이익이 전년 대비 18% 증가한 36억4000만 유로, 총매출은 3% 증가한 93억3000만 유로를 기록했다.",positive
positive,"Operating profit for the nine-month period increased from EUR13 .6 m, while net sales increased from EUR394 .7 m, as compared to the corresponding period in 2005.",9개월간의 영업이익은 13.6억 유로에서 증가했고 순매출은 2005년 같은 기간에 비해 394.7억 유로에서 증가했다.,positive
positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m, as compared to the corresponding period in 2007.",2007년 같은 기간에 비해 9개월 영업이익은 .1억 유로에서 증가하였고 순매출은 .5억 유로에서 증가하였다.,positive
positive,"Operating profit for the three-month period increased from EUR1 .2 m, while revenue increased from EUR20 .2 m, as compared to the corresponding period in 2005.","3개월간의 영업이익은 2005년 같은 기간에 비해 .2 m 유로에서 증가하였고, 수익은 .2 m 유로에서 증가하였다.",positive
positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year, online news source Reseller Web quoted the division's commercial director, Vladimir Brand+_o, as saying.","온라인 뉴스 리셀러 웹은 핀란드 보안 솔루션 공급업체인 F-Secure의 브라질 사업부가 지난해 1,500명의 신규 고객을 유치했다고 블라디미르 브랜드+_o의 말을 인용 보도했다.",positive
positive,"The company's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros, 13.8 % up on the year, the company said earlier.","2005년 순이익은 전년 대비 11.4% 증가한 8,220만 유로로 전년 대비 13.8% 증가한 6억 8,650만 유로 매출을 기록했다고 앞서 밝혔다.",positive
positive,"The Lithuanian beer market made up 14.41 million liters in January, a rise of 0.8 percent from the year-earlier figure, the Lithuanian Brewers' Association reporting citing the results from its members.",리투아니아 맥주 시장은 1월 1441만ℓ로 전년 동기 대비 0.8% 증가했다고 리투아니아 맥주협회가 회원들의 결과를 인용해 보도했다.,positive
positive,"Viking Line's cargo revenue increased by 5.4 % to EUR 21.46 mn, and cargo volume increased by 2.4 % to 70,116 cargo units.","바이킹 라인의 화물 수입은 5.4% 증가한 21.46mn, 화물 물동량은 2.4% 증가한 7만116대를 기록했다.",positive
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million.","부동산 포트폴리오의 공정가치는 카피텔리 인수의 결과로 두 배가 되었고 총 2,686.2 유로 1,259.7백만 유로였다.",positive
positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout.,"2011년 2월 10일 - 핀란드 미디어 회사 Sanoma Oyj HEL: SAA1V는 2010년 순이익이 2009년 EUR107.1m에서 거의 3배인 EUR297.3m로 증가했다고 어제 발표했으며, 급여 인상을 제안했습니다.",positive
positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009, an increase over EPS of EUR1 .12 in 2008.",헬싱키 : ELIiV는 오늘 2009년 EPS가 1.13유로로 2008년 EPS 1.12유로에 비해 증가했다고 보고했다.,positive
positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11, 2011 at8 .45 a.m. ESL Shipping Ltd, part of Aspo Group, has signed a new, long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea.",2011년 2월 11일 오전 8시 45분 아스포 주식 거래소 릴리즈. 아스포그룹 계열인 ESL해운이 라우타루키사와 발트해 원재료의 해상 운송을 위한 새로운 장기 계약을 체결했다.,positive
positive,"Commission income increased by 22 % to EUR 4.4 mn, and lending volume rose by 13.5 %.","수수료 수입은 22% 증가한 4.4 mn으로, 대출 규모는 13.5% 증가했다.",positive
positive,"In January, traffic, measured in revenue passenger kilometres RPK, went up by 3.2 % and capacity, measured in available seat kilometres ASK, rose by 12.2 %.","1월에 수익 승객 킬로미터 RPK로 측정한 교통량은 3.2%, 가용 좌석 킬로미터 ASK로 측정한 수용량은 12.2% 증가했다.",positive
positive,"In January-September 2010, Fiskars' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million.","2010년 1월부터 9월까지 피스카의 순이익은 전년 동기 대비 14% 증가한 6540만 유로, 순매출액은 4억8770만 유로에서 5억2530만 유로로 증가했다.",positive
positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn, and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009.","생명보험 순이익은 2009년 14.0mn에서 16.5mn로, 손해보험 순이익은 2009년 15.2mn에서 22.6mn으로 증가했다.",positive
positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara's leaching process during the period of supply of the zinc in concentrate.",Nyrstar는 또한 농축된 아연이 공급되는 기간 동안 Talvivaara의 침출 공정에 사용하기 위해 Talvivaara에 연간 최대 15만 톤의 황산을 공급하기로 합의했다.,neutral
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 %, while sales for the clothing store subsidiary Seppala decreased by 4 %.",백화점 부문과 하비홀의 매출은 모두 7% 증가했고 의류 매장 자회사 세팔라의 매출은 4% 감소했다.,positive
positive,Sales have risen in other export markets.,다른 수출 시장에서도 매출이 증가했다.,positive
positive,Sales increased due to growing market rates and increased operations.,시장금리 상승과 영업 증가 등으로 매출이 증가했다.,positive
positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks.,이번 계약으로 노키아 지멘스 네트웍스와의 장기적인 파트너십이 강화되었습니다.,positive
positive,"The agreement was signed with Biohit Healthcare Ltd, the UK-based subsidiary of Biohit Oyj, a Finnish public company which develops, manufactures and markets liquid handling products and diagnostic test systems.","이 계약은 액체 취급 제품 및 진단 테스트 시스템을 개발, 제조 및 판매하는 핀란드 공기업 바이오히트 Oyj의 영국 자회사인 바이오히트 헬스케어 Ltd와 체결되었다.",positive
positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million.,"회사는 또 이미 진행된 투자가 2009년 1억4,170만 유로에 달했던 2010년 순매출액 증가로 이어질 것으로 추산하고 있다.",positive
positive,"The company's order book stood at 1.5 bln euro $ 2.2 bln on September 30, 2007, up by 24.2 pct on the year, with international orders amounting to 365 mln euro $ 534.3 mln.","2007년 9월 30일 이 회사의 주문 장부는 1.5 bln 유로 2.2 bln으로 전년 동기 대비 24.2 pct 상승했으며, 국제 주문량은 365 mln 유로 534.3 mln에 달했다.",positive
positive,"The company said that paper demand increased in all of its main markets, including of publication papers, and that it increased average paper prices by 4 percent compared with last year.","회사 측은 발행용지를 포함한 주요 시장에서 모두 용지 수요가 증가했으며, 지난해 대비 평균 용지 가격을 4% 인상했다고 밝혔다.",positive
positive,"The world's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million, or euro3 .33 US$ 4.31 per share, from euro172 million, or euro0 .94 per share, the previous year.",세계 2위의 스테인리스강 제조업체인 포스코는 12월 31일까지 3개월간의 순이익이 전년도의 1억7200만 유로에서 7억8100만 유로로 4.31만 유로로 급증했다고 밝혔다.,positive
positive,"Within the framework of the partnership, Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary, JSC Mikron, which is the largest manufacturer and exporter of microelectronic components in Russia.","파트너십의 틀 안에서, 노키아 지멘스 네트웍스는 러시아에서 가장 큰 마이크로 전자 부품 제조업체이자 수출업체인 Sitronics 자회사인 JSC Mikron과 초기 프레임워크 구매 계약을 체결했다.",positive
positive,"Seppala's revenue increased by 0.2 % to EUR10 .1 m. In Finland, revenue went down by 2.4 % to EUR6 .8 m, while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine.",세팔라의 수익은 0.2% 증가하여 10.1m가 되었다. 핀란드는 수익이 2.4% 감소한 6.8M유로를 기록했고 해외 판매는 6.2% 증가한 3.3M유로를 기록했다.,negative
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100, while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 %.",스탠다드차타드의 주가는 FTSE 100에서 1.2% 상승했으며 스코틀랜드 왕립은행(RBS) 주가는 2% 상승했으며 바클레이스 주식은 1.7% 상승했다.,positive
positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased.,노키아의 3분기 실적이 2배 가까이 증가했으며 세계 휴대폰 시장에서 노키아의 점유율이 증가했다고 26일(현지시간) 밝혔다.,positive
positive,"In its financial report, published on Friday, SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share.",SAB는 25일(현지시간) 발표한 재무보고서에서 순이익이 1년 전 0.114bn에서 2010년 6.745bn으로 급증했으며 주당 배당금 50%를 인상할 것이라고 밝혔다.,positive
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 %.,"백화점 부문 매출은 15%, 의류전문점 자회사 세팔라는 8% 증가한 반면 하비홀 매출은 12% 감소했다.",positive
neutral,"At the request of Finnish media company Alma Media's newspapers, research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland's national economy by using a model developed by the University of Denver.",핀란드 언론사 알마미디어의 신문들의 요청에 따라 투르쿠경제대학 핀란드선물연구센터의 야리 카이보오하 연구책임자는 덴버대가 개발한 모델을 활용해 핀란드 국가경제의 미래 시나리오를 작성했다.,neutral
neutral,"In Sweden, Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 %.",스웨덴에서 Gallerix 누적 SEK 표시 매출은 1% 감소했고 EUR 표시 매출은 11% 증가했다.,negative
neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production.,이 회사는 글로벌 고객의 신기술 개발을 지원하고 제품 개발에서 애플리케이션 및 대량 생산까지 빠른 경로를 제공합니다.,positive
neutral,"When this investment is in place, Atria plans to expand into the Moscow market.",이번 투자가 이뤄지면 아트리아는 모스크바 시장까지 확장할 계획이다.,neutral
neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group, whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo, and signed asimilar agreement,'' said Tatu Hauhio, managing director ofCramo Finland.","`` 크라모핀란드 타투 하우히오 상무는 ""이번 신규 계약은 올해 초 레민카이넨 그룹과 체결한 레민카이넨 탈로 오이이타-자 포호이스 수오모의 건설기계 전량을 인수해 유사계약으로 체결된 협약의 연장선""이라고 말했다.",positive
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units, further confirmed at a total value of 500 mln euro ( $ 645.8 mln ).","처음에는 2대를 추가로 생산할 수 있는 옵션이 있는 페리선 3척을 건조할 계획이었으나, 총액 500mln 유로($645.8mln)로 추가로 확정되었다.",neutral
neutral,"In June it sold a 30 percent stake to Nordstjernan, and the investment group has now taken up the option to acquire EQT's remaining shares.","지난 6월 노르트슈테르난에 지분 30%를 매각했고, 이 투자 그룹은 이제 EQT의 잔여 지분을 인수할 수 있는 옵션을 갖게 됐다.",positive
positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd, a subsidiary wholly owned by Kesko.",KESKO CORPORATION STECHERSE 28.02.28 09.30 1 ( 1)에 Kesko Corporation과 Aspo plc는 오늘 아스포가 Kesko가 전적으로 소유한 자회사인 카우코텔코의 주식 자본을 인수하는 계약에 서명했다.,positive
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion.,2006년 12월 5일 15.45 유로에서 스폰다 스폰다에 대한 신디케이트 크레디트 퍼실리티 15.45 유로에 발표된 스폰다 스폰다는 총 15억 유로의 신디케이트 크레디트 퍼실리티 계약을 체결했다.,positive
neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program.,2006년 7월 20일 주식 교환 발표 1 ( 1) BasWare 주식 청약 및 주식 자본 증가 총 119850주가 BasWare 보증 프로그램에 가입되었습니다.,neutral
positive,"The contract covers HDO platform, AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks.","이 계약은 전송 네트워크의 순방향 및 리턴 경로 용량을 증가시키기 위해 설계된 HDO 플랫폼, AC800 및 CXE880 광학 Fttb 노드를 포함한다.",positive
neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity.,새 발전소는 최대 350메가와트(MW)의 전력을 생산할 수 있으며 동일한 열 발전 용량을 갖출 계획이다.,positive
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19.","OMX 헬싱키 25 지수는 0.92pct 오른 2,518.67, 헬싱키 CAP 포트폴리오 지수는 0.91pct 오른 4,711.19를 기록했다.",positive
neutral," So, the sales growth of cars considerably influence on the tires market''."," 따라서, 자동차의 판매 성장은 타이어 시장에 상당한 영향을 미친다.'",neutral
neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan.","2004년 스톡옵션제도에 따라 B옵션을 행사하면 최대 666,104주의 신규주식이 추가로 청약될 수 있다.",neutral
neutral,"As a result of the share issue, the number of the company's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20.","주식발행의 결과로 동사의 주식수는 391,630주, 자기자본은 총 15,665.20주가 증가하였다.",positive
neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S, Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility.","핀란드 부동산투자자 스폰다(Sponda Plc)는 12일 단스케은행 A-S 헬싱키 지점과 7년 만기 150만 유로, 일마리넨 상호연금보험회사와 7년 만기 50만 유로 신용대출 계약을 체결했다고 밝혔다.",positive
neutral,"On the route between Helsinki in Finland and Tallinn in Estonia, cargo volumes increased by 36 %, while cargo volumes between Finland and Sweden fell by 9 %.",핀란드 헬싱키와 에스토니아 탈린을 잇는 노선의 경우 화물량이 36% 증가한 반면 핀란드-스웨덴 간 화물량은 9% 감소했다.,negative
neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments, divestments and redelivery of excess tonnage.","다른 조치들은 그리말디 그룹 내에서 시너지 효과와 규모의 경제를 증가시키는 것과 인원 조정, 해고, 초과 톤수의 재인도를 포함했다.",positive
positive,"Rinkuskiai raised the sales by 18.1 percent, to 1.37 million liters, while the sales of Kauno Alus grew by 14.3 percent, to 960,000 liters.",린쿠스키아는 판매량을 137만 리터로 18.1% 늘렸고 카우노 알루스의 판매량은 96만 리터로 14.3% 성장했다.,positive
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj.,텔레콤월드와이어-2006년 4월 7일-TJ 그룹은 모닝 디지털 디자인 Oy 핀란드 IT 회사인 TJ 그룹 PLC의 지분을 Edita Oyj에 매각하기로 합의했다고 금요일 밝혔다.,positive
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj.,텔레콤월드와이어-2006년 4월 7일-TJ 그룹은 모닝 디지털 디자인 Oy 핀란드 IT 회사인 TJ 그룹 PLC의 지분을 Edita Oyj에 매각하기로 합의했다고 금요일 밝혔다.,positive
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange's Main List, together with the old Series A shares, on July 3, 2006.","시리즈A 신주 718,430주는 2006년 7월 3일 헬싱키 증권거래소 메인리스트에서 이전 시리즈A 주식과 함께 거래될 예정이다.",neutral
neutral,The fuel purchase contracts have been signed with three months' delivery from this September to November.,연료 구매 계약은 올 9월부터 11월까지 3개월간의 배송과 함께 체결되었습니다.,neutral
neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005.,Tiimari는 핵심 핀란드 시장을 포함하여 6개국에서 194개의 매장을 운영하고 있으며 2005년 76.5mln유로의 매출을 올렸다.,neutral
positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe.,본 계약에 따라 Biohit은 유럽 전역의 VWR 고객에게 피펫터 및 일회용 피펫터 팁을 중점적으로 공급하게 되었습니다.,neutral
positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean, Africa and North America `` says Uwe Bakosch.","우리가 복잡하고 강화된 서비스 체인을 제공할 수 있도록 해주는 모든 서비스의 조합은 발트해 항구 연결뿐만 아니라 지중해, 아프리카, 북미에 이르는 세계적인 그리말디 네트워크에 접근할 수 있도록 하는 것이다.",positive
neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video.,하나의 유리한 지점에서 나오는 맹점이 없기 때문에 수사관들은 끊기지 않은 비디오 없이 모든 이야기를 고해상도로 볼 수 있다.,neutral
positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009, adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year''.","동사는 2010년 매출액이 2009년보다 소폭 증가할 것으로 여전히 전망하고 있으며, ""올해 계약제조업의 시장개척에 대한 신뢰할 수 있는 예측을 하기에는 시장예측성이 여전히 너무 열악하다""고 덧붙였다.",negative
positive,The acquisition will considerably increase Kemira's sales and market position in the Russian metal industry coatings market.,이번 인수로 Kemira는 러시아 금속 산업 코팅 시장에서 매출과 시장 지위를 상당히 높일 수 있을 것이다.,positive
positive,"In January-September 2007, Finnlines' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006.",2007년 1월부터 9월까지 핀라인스의 순매출액은 2006년 같은 기간의 473.5 mn에서 505.4 mn으로 증가했다.,positive
positive,"Adjusted for changes in the Group structure, the Division's net sales increased by 1.7 %.",그룹 구조의 변화에 따라 부서의 순매출은 1.7% 증가했다.,positive
positive,"`` The change will optimize the operational efficiencies of our growing business,'' said Julia Prohaska, director of marketing communications for Fiskars.","`` 이 변화는 성장하는 사업의 운영 효율성을 최적화할 것입니다""라고 피스카의 마케팅 커뮤니케이션 담당 이사인 줄리아 프로하스카는 말했다.",positive
positive,"`` They would invest not only in the physical infrastructure, but would also provide know-how for managing and developing science and technology parks,'' said Sunrise Valley director Andrius Bagdonas.","`` 그들은 물리적 기반 시설에 투자할 뿐만 아니라 과학기술 단지를 관리하고 발전시키기 위한 노하우를 제공할 것입니다,"" 라고 선라이즈 밸리 책임자 안드리우스 바그도나스 씨가 말했습니다.",neutral
